DateTime,GWL(m)
1932-12-01,206.04479999999998
1933-01-01,206.06687341935483
1933-02-01,206.14315242857143
1933-03-01,206.0379542903226
1933-04-01,205.77785869999988
1933-05-01,205.40674653763435
1933-06-01,205.30525359999976
1933-07-01,204.96796017204292
1933-08-01,204.9960913548387
1933-09-01,205.117954
1933-10-01,204.9545009032258
1933-11-01,204.8976344
1933-12-01,204.93542632258064
1934-01-01,204.97308387096774
1934-02-01,205.1496677142857
1934-03-01,205.41573212903225
1934-04-01,205.42432879999998
1934-05-01,204.97613187096775
1934-06-01,204.17515679999997
1934-07-01,203.78947664516113
1934-08-01,204.0194531612903
1934-09-01,203.5093719999999
1934-10-01,203.44357780645163
1934-11-01,203.51628079999998
1934-12-01,203.69616851612898
1935-01-01,203.81681032258058
1935-02-01,203.8960688571428
1935-03-01,203.63904309677412
1935-04-01,203.3765807999999
1935-05-01,205.06255741935482
1935-06-01,207.78932966486462
1935-07-01,208.22230767567518
1935-08-01,207.2600538099389
1935-09-01,207.26237440000003
1935-10-01,207.71276064516098
1935-11-01,207.46017266666647
1935-12-01,207.27894503225806
1936-01-01,207.07109109677418
1936-02-01,206.76496882758622
1936-03-01,206.92518038709676
1936-04-01,206.4640524
1936-05-01,206.7770082580645
1936-06-01,207.90597913846128
1936-07-01,207.99522692307642
1936-08-01,207.77211029776666
1936-09-01,207.5719496
1936-10-01,207.85265729032255
1936-11-01,207.86567519999997
1936-12-01,207.78235664516126
1937-01-01,207.60134477419348
1937-02-01,207.33747857142856
1937-03-01,207.51688567741934
1937-04-01,207.293464
1937-05-01,206.5339548387097
1937-06-01,207.488028
1937-07-01,206.94425496774195
1937-08-01,206.17045625806452
1937-09-01,205.91947639999998
1937-10-01,205.9687966451613
1937-11-01,205.961488
1937-12-01,206.09101161290323
1938-01-01,206.8010972903226
1938-02-01,207.26149628571426
1938-03-01,206.93776567741935
1938-04-01,206.876396
1938-05-01,207.5512002580645
1938-06-01,206.73903280000002
1938-07-01,206.01913780645162
1938-08-01,205.65790064516128
1938-09-01,205.608936
1938-10-01,205.38520296774195
1938-11-01,205.4324568
1938-12-01,205.36893058064518
1939-01-01,205.42143483870967
1939-02-01,205.2300042857143
1939-03-01,205.0110363870968
1939-04-01,204.32207039999997
1939-05-01,203.7243870967742
1939-06-01,203.61229279999998
1939-07-01,203.35078235944678
1939-08-01,203.57113028571385
1939-09-01,203.53128857142812
1939-10-01,203.49144685714242
1939-11-01,203.48198354285694
1939-12-01,203.53167483870968
1940-01-01,203.5871287741935
1940-02-01,203.44075696551718
1940-03-01,202.95196756059264
1940-04-01,202.68498685405362
1940-05-01,202.57302967741933
1940-06-01,202.881738
1940-07-01,203.03150787096766
1940-08-01,201.9229207741935
1940-09-01,201.6818927999999
1940-10-01,201.8671718709677
1940-11-01,202.63103999999996
1940-12-01,203.73687406451614
1941-01-01,203.95564180645158
1941-02-01,205.48832228571428
1941-03-01,205.7288895483871
1941-04-01,206.20217839999998
1941-05-01,207.74784541935475
1941-06-01,207.2683688
1941-07-01,206.46965187096774
1941-08-01,205.77254477419353
1941-09-01,205.7159208
1941-10-01,206.52677729032257
1941-11-01,206.51825599999998
1941-12-01,206.47358477419354
1942-01-01,206.18667948387096
1942-02-01,206.03718
1942-03-01,205.8468766451613
1942-04-01,205.8750772
1942-05-01,205.85120283870967
1942-06-01,205.3528024
1942-07-01,205.13492283870968
1942-08-01,204.4627896774193
1942-09-01,206.0296616
1942-10-01,207.8849070967742
1942-11-01,208.13979199999997
1942-12-01,207.41639999999998
1943-01-01,206.95998658064516
1943-02-01,206.4656417142857
1943-03-01,206.14872696774194
1943-04-01,205.6792432
1943-05-01,204.79944619354836
1943-06-01,205.1462496
1943-07-01,204.9555824516129
1943-08-01,204.23713935483863
1943-09-01,204.42875039999993
1943-10-01,204.34932541935484
1943-11-01,204.22626159999993
1943-12-01,204.11197470967713
1944-01-01,204.06074864516128
1944-02-01,204.20559475862066
1944-03-01,205.38151587096775
1944-04-01,205.74254000000002
1944-05-01,205.61542529032258
1944-06-01,206.1520896
1944-07-01,204.71085754838708
1944-08-01,203.6788637419355
1944-09-01,204.71028399999994
1944-10-01,204.4360032427842
1944-11-01,204.77865678947322
1944-12-01,205.48444926315742
1945-01-01,206.32748518166375
1945-02-01,207.38809714285713
1945-03-01,207.20667793548384
1945-04-01,207.62071759999995
1945-05-01,206.88250838709678
1945-06-01,205.7277064
1945-07-01,205.05901780645158
1945-08-01,204.50398683870964
1945-09-01,204.102589
1945-10-01,204.95604948387097
1945-11-01,204.8060928
1945-12-01,204.98488258064515
1946-01-01,204.89855535483872
1946-02-01,204.811884
1946-03-01,204.93647164685882
1946-04-01,204.3658974315789
1946-05-01,204.8663055483871
1946-06-01,204.862684
1946-07-01,204.0423623225806
1946-08-01,202.78766787096774
1946-09-01,205.04729119999996
1946-10-01,207.28966219354837
1946-11-01,207.0703504
1946-12-01,206.98800851612904
1947-01-01,207.16656232258066
1947-02-01,207.14208
1947-03-01,206.79529625806438
1947-04-01,206.1310584
1947-05-01,205.5655866666663
1947-06-01,204.73267551111087
1947-07-01,203.80540490322582
1947-08-01,203.92486683870965
1947-09-01,203.7225287999997
1947-10-01,203.19845961290315
1947-11-01,203.22397759999998
1947-12-01,203.4485922580645
1948-01-01,203.22139827096774
1948-02-01,203.36678515862067
1948-03-01,202.92354967741935
1948-04-01,201.6570008
1948-05-01,201.10723664516124
1948-06-01,200.17054199999995
1948-07-01,200.6876941935483
1948-08-01,199.4725213225806
1948-09-01,200.00351583333335
