"DateTime","(mm) Actual ET (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1980-04-01",53.5
"1980-05-01",133.5
"1980-06-01",21.3
"1980-07-01",9.2
"1980-08-01",66.1
"1980-09-01",142.7
"1980-10-01",61.6
"1980-11-01",73
"1980-12-01",26.7
"1981-01-01",43.8
"1981-02-01",37.9
"1981-03-01",81.7
"1981-04-01",56.4
"1981-05-01",127.7
"1981-06-01",150.5
"1981-07-01",88.5
"1981-08-01",101.6
"1981-09-01",66.8
"1981-10-01",112.8
"1981-11-01",53.1
"1981-12-01",31.9
"1982-01-01",35.7
"1982-02-01",41.4
"1982-03-01",28.8
"1982-04-01",57.3
"1982-05-01",137.9
"1982-06-01",57.8
"1982-07-01",18.4
"1982-08-01",23.4
"1982-09-01",42.8
"1982-10-01",65.6
"1982-11-01",70.3
"1982-12-01",46.6
"1983-01-01",43.4
"1983-02-01",54.2
"1983-03-01",105.8
"1983-04-01",6.8
"1983-05-01",122.8
"1983-06-01",95.2
"1983-07-01",78.8
"1983-08-01",85.2
"1983-09-01",82.2
"1983-10-01",85.2
"1983-11-01",65.3
"1983-12-01",13.6
"1984-01-01",41.7
"1984-02-01",18.8
"1984-03-01",29.1
"1984-04-01",6.7
"1984-05-01",64.5
"1984-06-01",62.6
"1984-07-01",30.9
"1984-08-01",33.3
"1984-09-01",30.3
"1984-10-01",80.1
"1984-11-01",63.6
"1984-12-01",64.2
"1985-01-01",53.9
"1985-02-01",62.1
"1985-03-01",92.2
"1985-04-01",95.1
"1985-05-01",93.9
"1985-06-01",173.2
"1985-07-01",120.6
"1985-08-01",17
"1985-09-01",136.5
"1985-10-01",98.8
"1985-11-01",63.4
"1985-12-01",36.8
"1986-01-01",38.9
"1986-02-01",57.1
"1986-03-01",28.8
"1986-04-01",35.2
"1986-05-01",133.3
"1986-06-01",152
"1986-07-01",18.5
"1986-08-01",44.7
"1986-09-01",140.3
"1986-10-01",90.2
"1986-11-01",51.2
"1986-12-01",51.8
"1987-01-01",52.6
"1987-02-01",69.7
"1987-03-01",76.1
"1987-04-01",85.7
"1987-05-01",134.2
"1987-06-01",146.2
"1987-07-01",137.4
"1987-08-01",100.3
"1987-09-01",92.1
"1987-10-01",23.3
"1987-11-01",78.1
"1987-12-01",62.4
"1988-01-01",21.5
"1988-02-01",38
"1988-03-01",51.5
"1988-04-01",35.5
"1988-05-01",53.5
"1988-06-01",99
"1988-07-01",84.3
"1988-08-01",45.8
"1988-09-01",55.7
"1988-10-01",35.6
"1988-11-01",6.3
"1988-12-01",17.7
"1989-01-01",63.4
"1989-02-01",25.6
"1989-03-01",54.7
"1989-04-01",63.4
"1989-05-01",54.5
"1989-06-01",84.4
"1989-07-01",22.8
"1989-08-01",25.9
"1989-09-01",30.5
"1989-10-01",107.9
"1989-11-01",41.2
"1989-12-01",9.4
"1990-01-01",28.5
"1990-02-01",70.5
"1990-03-01",96.4
"1990-04-01",103.8
"1990-05-01",74.6
"1990-06-01",23.9
"1990-07-01",181.7
"1990-08-01",33.9
"1990-09-01",113.6
"1990-10-01",91.1
"1990-11-01",73.9
"1990-12-01",9.4
"1991-01-01",49.6
"1991-02-01",60.6
"1991-03-01",53.2
"1991-04-01",115.9
"1991-05-01",117.1
"1991-06-01",116.1
"1991-07-01",54.5
"1991-08-01",77.1
"1991-09-01",96.1
"1991-10-01",44.7
"1991-11-01",34.9
"1991-12-01",55.2
"1992-01-01",55.5
"1992-02-01",74.8
"1992-03-01",115
"1992-04-01",103.2
"1992-05-01",133.7
"1992-06-01",166.5
"1992-07-01",145.7
"1992-08-01",106.4
"1992-09-01",62.5
"1992-10-01",36.7
"1992-11-01",73.8
"1992-12-01",60.2
"1993-01-01",51
"1993-02-01",74.1
"1993-03-01",76.4
"1993-04-01",86.5
"1993-05-01",154.1
"1993-06-01",142.2
"1993-07-01",12.4
"1993-08-01",9.3
"1993-09-01",50.9
"1993-10-01",95.2
"1993-11-01",30
"1993-12-01",24.8
"1994-01-01",41.5
"1994-02-01",43.5
"1994-03-01",93
"1994-04-01",56.8
"1994-05-01",132.9
